# GRFchr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue May 28 07:03:20 2024
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.61904 1 2 0.38096 1 2
 52 0.54777 1 1 0.45223 1 1
 53 0.46256 1 1 0.53744 1 1
 54 0.38392 1 2 0.61608 1 2
 55 0.51974 1 2 0.48026 1 2
 56 0.52878 1 1 0.47122 1 1
 57 0.28246 0 1 0.71754 1 1
 58 0.18407 0 2 0.81593 1 2
 59 0.23857 0 2 0.76143 1 2
 60 0.29059 1 2 0.70941 1 2
 61 0.27028 1 2 0.72972 2 2
 62 0.27085 1 2 0.72915 2 2
 63 0.27114 1 2 0.72886 2 2
 64 0.20276 1 2 0.79724 2 2
 65 0.13448 0 2 0.86552 2 2
 66 0.25382 0 2 0.74618 1 2
 67 0.11788 0 2 0.88212 1 2
 68 0.16158 0 1 0.83842 1 1
 69 0.23163 0 2 0.76837 1 2
 70 0.11513 0 2 0.88487 1 2
 71 0.08682 0 2 0.91318 2 2
 72 0.04921 0 1 0.95079 1 1
 73 0.07418 0 1 0.92582 1 1
 74 0.07588 0 1 0.92412 1 1
 75 0.06910 0 1 0.93090 1 1
 76 0.02153 0 2 0.97847 2 2
 77 0.02305 0 2 0.97695 2 2
 78 0.03810 0 1 0.96190 1 1
 79 0.12833 0 2 0.87167 1 2
 80 0.00000 0 2 1.00000 2 2
 81 0.00000 0 2 1.00000 2 2
 82 0.00000 0 1 1.00000 1 1
 83 0.00000 0 2 1.00000 2 2
 84 0.00000 0 1 1.00000 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.00000 0 1 1.00000 1 1
 87 0.09380 0 1 0.90620 1 1
 88 0.00000 0 1 1.00000 1 1
 89 0.06414 0 1 0.93586 1 1
 90 0.00000 0 0 1.00000 0 0
 91 0.13819 0 0 0.86181 0 0
 92 0.00000 0 0 1.00000 0 0
 93 0.00000 0 0 1.00000 0 0
 94 0.00000 0 0 1.00000 0 0
 95 0.00000 0 0 1.00000 0 0
 96 NaNq 0 0 NaNq 0 0
 97 0.00000 0 0 1.00000 0 0
